time,accX,accY,accZ,target,group
2023-09-15 15:11:06.458,-0.18,0.74,-2.02,Walk,1
2023-09-15 15:11:06.475,-0.38,0.46,-1.8,Walk,1
2023-09-15 15:11:06.492,-0.42,0.26,-1.74,Walk,1
2023-09-15 15:11:06.508,-0.43,-0.23,-1.46,Walk,1
2023-09-15 15:11:06.525,-0.03,-0.42,-1.4,Walk,1
2023-09-15 15:11:06.541,0.41,-0.32,-1.66,Walk,1
2023-09-15 15:11:06.558,1.5,0.04,-2.01,Walk,1
2023-09-15 15:11:06.575,2.46,0.55,-2.08,Walk,1
2023-09-15 15:11:06.592,2.87,0.82,-2.0,Walk,1
2023-09-15 15:11:06.608,3.29,1.02,-1.61,Walk,1
2023-09-15 15:11:06.625,3.31,1.26,-1.17,Walk,1
2023-09-15 15:11:06.642,3.15,1.59,-0.93,Walk,1
2023-09-15 15:11:06.658,2.63,2.36,-0.83,Walk,1
2023-09-15 15:11:06.675,2.38,3.21,-0.74,Walk,1
2023-09-15 15:11:06.691,2.38,3.63,-0.82,Walk,1
2023-09-15 15:11:06.708,2.26,4.12,-1.48,Walk,1
2023-09-15 15:11:06.725,2.01,4.44,-2.46,Walk,1
2023-09-15 15:11:06.741,2.08,4.57,-2.92,Walk,1
2023-09-15 15:11:06.758,2.31,4.94,-3.66,Walk,1
2023-09-15 15:11:06.775,2.88,4.99,-4.37,Walk,1
2023-09-15 15:11:06.791,3.54,5.04,-4.54,Walk,1
2023-09-15 15:11:06.808,3.89,4.99,-4.34,Walk,1
2023-09-15 15:11:06.825,4.42,4.53,-3.66,Walk,1
2023-09-15 15:11:06.841,4.84,,,Walk,1
2023-09-15 15:11:06.858,4.78,4.25,-2.11,Walk,1
2023-09-15 15:11:06.875,4.45,5.17,-1.32,Walk,1
2023-09-15 15:11:06.892,4.22,4.83,0.35,Walk,1
2023-09-15 15:11:06.908,4.39,4.4,1.2,Walk,1
2023-09-15 15:11:06.925,4.06,3.8,2.24,Walk,1
2023-09-15 15:11:06.942,3.46,3.7,2.1,Walk,1
2023-09-15 15:11:06.957,3.38,3.38,1.66,Walk,1
2023-09-15 15:11:06.975,2.74,2.79,0.82,Walk,1
2023-09-15 15:11:06.991,1.78,2.44,0.39,Walk,1
2023-09-15 15:11:07.008,1.02,2.17,0.27,Walk,1
2023-09-15 15:11:07.025,-0.21,1.62,-0.29,Walk,1
2023-09-15 15:11:07.041,-1.13,,,Walk,1
2023-09-15 15:11:07.058,-1.89,0.92,1.33,Walk,1
2023-09-15 15:11:07.075,-2.32,-0.14,1.29,Walk,1
2023-09-15 15:11:07.091,-1.87,-0.72,0.99,Walk,1
2023-09-15 15:11:07.108,-1.53,-1.04,0.93,Walk,1
2023-09-15 15:11:07.125,-1.03,-1.44,0.66,Walk,1
2023-09-15 15:11:07.142,-0.42,-1.71,0.6,Walk,1
2023-09-15 15:11:07.158,-0.13,-1.74,0.69,Walk,1
2023-09-15 15:11:07.174,0.3,-1.75,0.77,Walk,1
2023-09-15 15:11:07.192,0.92,-1.67,-0.44,Walk,1
2023-09-15 15:11:07.208,0.3,-1.81,0.47,Walk,1
2023-09-15 15:11:07.225,0.14,-1.78,0.73,Walk,1
2023-09-15 15:11:07.242,0.03,-1.63,0.55,Walk,1
2023-09-15 15:11:07.258,-0.22,-1.64,-0.09,Walk,1
2023-09-15 15:11:07.275,-0.47,-1.63,-0.33,Walk,1
2023-09-15 15:11:07.292,-1.12,-1.58,-0.85,Walk,1
2023-09-15 15:11:07.308,-2.05,-1.64,-1.33,Walk,1
2023-09-15 15:11:07.325,-2.75,-1.87,-1.56,Walk,1
2023-09-15 15:11:07.342,-4.08,-2.08,-2.04,Walk,1
2023-09-15 15:11:07.358,-5.14,-2.24,-2.57,Walk,1
2023-09-15 15:11:07.375,-5.62,-2.26,-2.56,Walk,1
2023-09-15 15:11:07.391,-6.04,-2.18,-2.3,Walk,1
2023-09-15 15:11:07.408,-6.21,-2.26,-1.77,Walk,1
2023-09-15 15:11:07.425,-6.27,-2.38,-1.41,Walk,1
2023-09-15 15:11:07.442,-6.25,-2.47,-0.5,Walk,1
2023-09-15 15:11:07.458,-6.4,-2.66,0.32,Walk,1
2023-09-15 15:11:07.475,-6.73,-2.13,0.64,Walk,1
2023-09-15 15:11:07.491,-6.59,-1.04,1.28,Walk,1
2023-09-15 15:11:07.508,-6.25,-1.17,1.53,Walk,1
2023-09-15 15:11:07.525,-6.54,-1.36,1.48,Walk,1
2023-09-15 15:11:07.541,-7.67,-1.37,1.21,Walk,1
2023-09-15 15:11:07.558,-8.15,-1.48,1.27,Walk,1
2023-09-15 15:11:07.575,-8.03,-1.71,1.13,Walk,1
2023-09-15 15:11:07.591,-7.61,-1.92,0.56,Walk,1
2023-09-15 15:11:07.608,-6.34,-1.49,0.12,Walk,1
2023-09-15 15:11:07.625,-5.46,-1.14,-0.14,Walk,1
2023-09-15 15:11:07.642,-4.17,-0.54,-0.52,Walk,1
2023-09-15 15:11:07.658,-3.66,-0.17,-0.61,Walk,1
2023-09-15 15:11:07.675,-3.57,0.2,-0.57,Walk,1
2023-09-15 15:11:07.691,-3.47,0.42,-0.52,Walk,1
2023-09-15 15:11:07.708,-3.03,0.44,-0.37,Walk,1
2023-09-15 15:11:07.725,-2.02,0.72,-0.63,Walk,1
2023-09-15 15:11:07.741,-1.31,0.98,-0.88,Walk,1
2023-09-15 15:11:07.758,-0.11,1.46,-1.23,Walk,1
2023-09-15 15:11:07.775,1.05,2.15,-1.58,Walk,1
2023-09-15 15:11:07.791,1.65,2.58,-1.58,Walk,1
2023-09-15 15:11:07.808,2.6,2.99,-1.41,Walk,1
2023-09-15 15:11:07.825,3.19,3.49,-1.25,Walk,1
2023-09-15 15:11:07.841,3.41,3.73,-1.19,Walk,1
2023-09-15 15:11:07.858,3.62,3.99,-0.79,Walk,1
2023-09-15 15:11:07.875,3.87,4.26,-0.61,Walk,1
2023-09-15 15:11:07.891,4.03,4.54,-0.64,Walk,1
2023-09-15 15:11:07.908,4.17,4.92,-0.75,Walk,1
2023-09-15 15:11:07.925,4.29,5.19,-0.9,Walk,1
2023-09-15 15:11:07.941,4.37,5.32,-1.11,Walk,1
2023-09-15 15:11:07.958,4.59,5.46,-1.46,Walk,1
2023-09-15 15:11:07.975,4.74,5.65,-1.84,Walk,1
2023-09-15 15:11:07.991,4.84,5.87,-1.98,Walk,1
2023-09-15 15:11:08.008,5.1,6.11,-2.19,Walk,1
2023-09-15 15:11:08.025,5.45,6.15,-2.31,Walk,1
2023-09-15 15:11:08.041,5.71,6.04,,Walk,1
2023-09-15 15:11:08.058,6.21,5.72,-2.27,Walk,1
2023-09-15 15:11:08.075,5.89,6.45,-2.53,Walk,1
2023-09-15 15:11:08.091,5.71,7.1,,Walk,1
